"","Constituency_Name","V1"
"434","SAMBHAL",2.14017477848537
"435","AMROHA",2.34665224753844
"436","MEERUT",2.05386003532103
"437","BAGHPAT",2.40756456890395
"438","GHAZIABAD",1.53710478619145
"439","GAUTAM BUDDH NAGAR",1.82457558975867
"440","BULANDSHAHR",2.08692171781741
"441","ALIGARH",2.02094331352063
"442","HATHRAS",2.06023672386631
"443","MATHURA",2.15412956380108
"444","AGRA",1.99687448167478
"445","FATEHPUR SIKRI",2.29270357374689
"446","FIROZABAD",2.21404158759679
"447","MAINPURI",2.19218321438207
"448","MAINPURI(GEN)",2.19218321438207
"449","ETAH",2.29724550336396
"450","BADAUN",2.04833747375144
"451","AONLA",2.19149516472471
"452","BAREILLY",2.17766202486538
"453","PILIBHIT",2.16844527793369
"454","SHAHJAHANPUR",1.8308578715441
"455","KHERI",2.15771322551335
"456","DHAURAHRA",2.32587332425783
"457","SITAPUR",2.33754272662122
"458","HARDOI",2.1137607122775
"459","MISRIKH",2.10004004429792
"460","UNNAO",1.67428358633741
"461","MOHANLALGANJ",1.97139474941165
"462","LUCKNOW",1.85840398450016
"463","RAE BARELI",2.27204420942548
"464","AMETHI",2.17014773245149
"465","SULTANPUR",2.12702368612278
"466","PRATAPGARH",2.11129029814833
"467","FARRUKHABAD",2.24553765349821
"468","ETAWAH",2.12261449347689
"469","KANNAUJ",2.00333575471312
"470","KANPUR",2.2490678033425
"471","AKBARPUR",2.04892812818925
"472","JALAUN",1.92021360870586
"473","JHANSI",1.87562550076292
"474","BANDA",2.26225594701143
"475","FATEHPUR",2.00792352194455
"476","KAUSHAMBI",2.08443327011824
"477","PHULPUR",1.89403300623277
"478","ALLAHABAD",2.1744110204858
"479","BARA BANKI",2.10529966687543
"480","FAIZABAD",2.08420309184845
"481","AMBEDKAR NAGAR",2.10836677771481
"482","BAHRAICH",2.21147170824586
"483","KAISERGANJ",2.11674991398783
"484","SHRAWASTI",2.02664645877142
"485","GONDA",2.11816287463651
"486","DOMARIAGANJ",2.05732663795869
"487","BASTI",2.02733127605629
"488","SANT KABIR NAGAR",1.90294462838343
"489","GORAKHPUR",1.90327144918981
"490","KUSHI NAGAR",2.15575445927167
"491","DEORIA",2.00550880334889
"492","BANSGAON",2.05887539841713
"493","LALGANJ",2.18108422059983
"494","AZAMGARH",2.12774430002331
"495","GHOSI",1.91623023913972
"496","SALEMPUR",2.1807337743578
"497","BALLIA",2.04934990168362
"498","JAUNPUR",1.96004093373041
"499","MACHHLISHAHR",1.91536224959288
"500","GHAZIPUR",2.01152804938499
"501","CHANDAULI",2.27464122581103
"502","VARANASI",2.05141956889578
"503","BHADOHI",1.97525888505275
"504","MIRZAPUR",2.10605459181094
"505","ROBERTSGANJ",2.21088614669014
"506","COOCH BEHAR",2.24606375468497
"507","COOCHBEHAR(SC), DISTRICT, COOCHBEHAR",2.24606375468497
"508","ALIPURDUARS",2.46364735867772
"509","JALPAIGURI",2.36622876466974
"510","DARJEELING",2.52151543954232
"511","RAIGANJ",2.61170313204942
"512","BALURGHAT",2.88865258346572
"513","MALDAHA UTTAR",2.54225818491008
"514","MALDAHA DAKSHIN",2.68999356415763
"515","JANGIPUR",2.60395241352748
